# Goldbach verification checkpoint + samples
# original_start=4000121119999999996
# original_end=4001000000000000000
# last_verified=4000670139999999994
# total_verified=274510000000000
# total_total=274510000000000
# total_tries=4198679088996
# total_qhot=274363193529897
# total_misses=0
# elapsed_sec=300884.307460
N,p,q,source
4000669940000001022,941,4000669940000000081,QHOT
4000669940000001024,101,4000669940000000923,QHOT
4000669940000001026,103,4000669940000000923,QHOT
4000669940000001028,281,4000669940000000747,QHOT
4000669940000001030,107,4000669940000000923,QHOT
4000669940000001032,109,4000669940000000923,QHOT
4000669940000001034,1181,4000669939999999853,QHOT
4000669940000001036,113,4000669940000000923,QHOT
4000669940000001038,1087,4000669939999999951,QHOT
4000669940000001040,293,4000669940000000747,QHOT
4000669940000001042,809,4000669940000000233,QHOT
4000669940000001044,1543,4000669939999999501,QHOT
4000669940000001046,1193,4000669939999999853,QHOT
4000669940000001048,1361,4000669939999999687,QHOT
4000669940000001050,127,4000669940000000923,QHOT
4000669940000001052,971,4000669940000000081,QHOT
4000669940000001054,131,4000669940000000923,QHOT
4000669940000001056,823,4000669940000000233,QHOT
4000669940000001058,311,4000669940000000747,QHOT
4000669940000001060,137,4000669940000000923,QHOT
4000669940000001062,139,4000669940000000923,QHOT
4000669940000001064,317,4000669940000000747,QHOT
4000669940000001066,563,4000669940000000503,QHOT
4000669940000001068,1567,4000669939999999501,QHOT
4000669940000001070,1553,4000669939999999517,QHOT
4000669940000001072,149,4000669940000000923,QHOT
4000669940000001074,151,4000669940000000923,QHOT
4000669940000001076,1559,4000669939999999517,QHOT
4000669940000001078,331,4000669940000000747,QHOT
4000669940000001080,157,4000669940000000923,QHOT
4000669940000001082,1229,4000669939999999853,QHOT
4000669940000001084,337,4000669940000000747,QHOT
4000669940000001086,163,4000669940000000923,QHOT
4000669940000001088,1571,4000669939999999517,QHOT
4000669940000001090,167,4000669940000000923,QHOT
4000669940000001092,859,4000669940000000233,QHOT
4000669940000001094,347,4000669940000000747,QHOT
4000669940000001096,173,4000669940000000923,QHOT
4000669940000001098,1597,4000669939999999501,QHOT
4000669940000001100,353,4000669940000000747,QHOT
4000669940000001102,179,4000669940000000923,QHOT
4000669940000001104,181,4000669940000000923,QHOT
4000669940000001106,359,4000669940000000747,QHOT
4000669940000001108,1607,4000669939999999501,QHOT
4000669940000001110,1609,4000669939999999501,QHOT
4000669940000001112,1259,4000669939999999853,QHOT
4000669940000001114,191,4000669940000000923,QHOT
4000669940000001116,193,4000669940000000923,QHOT
4000669940000001118,1601,4000669939999999517,QHOT
4000669940000001120,197,4000669940000000923,QHOT
4000669940000001122,199,4000669940000000923,QHOT
4000669940000001124,1607,4000669939999999517,QHOT
4000669940000001126,379,4000669940000000747,QHOT
4000669940000001128,1627,4000669939999999501,QHOT
